Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (659)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of cellular response to macrophage colony-stimulating factor stimulus (GO:1903974)	2	2	.06	+	31.23	1.02E-03	1.91E-02
positive regulation of response to macrophage colony-stimulating factor (GO:1903971)	2	2	.06	+	31.23	1.02E-03	1.90E-02
detection of diacyl bacterial lipopeptide (GO:0042496)	2	2	.06	+	31.23	1.02E-03	1.90E-02
detection of triacyl bacterial lipopeptide (GO:0042495)	2	2	.06	+	31.23	1.02E-03	1.90E-02
positive regulation of transcytosis (GO:1904300)	2	2	.06	+	31.23	1.02E-03	1.90E-02
ganglion morphogenesis (GO:0061552)	2	2	.06	+	31.23	1.02E-03	1.89E-02
complement-mediated synapse pruning (GO:0150062)	4	4	.13	+	31.23	1.04E-06	5.37E-05
regulation of transcytosis (GO:1904298)	2	2	.06	+	31.23	1.02E-03	1.89E-02
phosphatidylglycerol catabolic process (GO:0034478)	2	2	.06	+	31.23	1.02E-03	1.89E-02
facioacoustic ganglion development (GO:1903375)	2	2	.06	+	31.23	1.02E-03	1.89E-02
extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration (GO:0021816)	2	2	.06	+	31.23	1.02E-03	1.88E-02
gamma-aminobutyric acid secretion (GO:0014051)	5	4	.16	+	24.98	5.08E-06	2.19E-04
detection of lipopolysaccharide (GO:0032497)	5	4	.16	+	24.98	5.08E-06	2.19E-04
regulation of microglial cell mediated cytotoxicity (GO:1904149)	5	4	.16	+	24.98	5.08E-06	2.18E-04
cellular response to diacyl bacterial lipopeptide (GO:0071726)	4	3	.13	+	23.42	1.28E-04	3.59E-03
response to diacyl bacterial lipopeptide (GO:0071724)	4	3	.13	+	23.42	1.28E-04	3.58E-03
cellular response to molecule of fungal origin (GO:0071226)	4	3	.13	+	23.42	1.28E-04	3.58E-03
detection of bacterial lipoprotein (GO:0042494)	4	3	.13	+	23.42	1.28E-04	3.57E-03
positive regulation of microglial cell mediated cytotoxicity (GO:1904151)	4	3	.13	+	23.42	1.28E-04	3.56E-03
synapse pruning (GO:0098883)	10	7	.32	+	21.86	3.69E-09	3.41E-07
natural killer cell tolerance induction (GO:0002519)	3	2	.10	+	20.82	3.01E-03	4.51E-02
myeloid dendritic cell antigen processing and presentation (GO:0002469)	3	2	.10	+	20.82	3.01E-03	4.51E-02
positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001190)	3	2	.10	+	20.82	3.01E-03	4.51E-02
follicular B cell differentiation (GO:0002316)	3	2	.10	+	20.82	3.01E-03	4.50E-02
positive regulation of dendritic cell apoptotic process (GO:2000670)	3	2	.10	+	20.82	3.01E-03	4.50E-02
inositol trisphosphate biosynthetic process (GO:0032959)	3	2	.10	+	20.82	3.01E-03	4.49E-02
positive regulation of type IIa hypersensitivity (GO:0001798)	3	2	.10	+	20.82	3.01E-03	4.49E-02
negative regulation of macrophage colony-stimulating factor signaling pathway (GO:1902227)	3	2	.10	+	20.82	3.01E-03	4.48E-02
maintenance of Golgi location (GO:0051684)	3	2	.10	+	20.82	3.01E-03	4.48E-02
5-methylcytosine catabolic process (GO:0006211)	3	2	.10	+	20.82	3.01E-03	4.47E-02
negative regulation of mast cell proliferation (GO:0070667)	3	2	.10	+	20.82	3.01E-03	4.47E-02
ventral trunk neural crest cell migration (GO:0036486)	3	2	.10	+	20.82	3.01E-03	4.47E-02
positive regulation of chemokine-mediated signaling pathway (GO:0070101)	3	2	.10	+	20.82	3.01E-03	4.46E-02
regulation of CAMKK-AMPK signaling cascade (GO:1905289)	3	2	.10	+	20.82	3.01E-03	4.46E-02
putrescine catabolic process (GO:0009447)	3	2	.10	+	20.82	3.01E-03	4.45E-02
pseudopodium assembly (GO:0031269)	3	2	.10	+	20.82	3.01E-03	4.45E-02
negative regulation of vascular associated smooth muscle contraction (GO:1904694)	3	2	.10	+	20.82	3.01E-03	4.44E-02
calcium-mediated signaling using extracellular calcium source (GO:0035585)	3	2	.10	+	20.82	3.01E-03	4.44E-02
positive regulation of matrix metallopeptidase secretion (GO:1904466)	3	2	.10	+	20.82	3.01E-03	4.44E-02
regulation of cellular response to macrophage colony-stimulating factor stimulus (GO:1903972)	6	4	.19	+	20.82	1.48E-05	5.69E-04
regulation of response to macrophage colony-stimulating factor (GO:1903969)	6	4	.19	+	20.82	1.48E-05	5.67E-04
detection of fungus (GO:0016046)	3	2	.10	+	20.82	3.01E-03	4.43E-02
sensory neuron axon guidance (GO:0097374)	3	2	.10	+	20.82	3.01E-03	4.43E-02
5-methylcytosine metabolic process (GO:0019857)	3	2	.10	+	20.82	3.01E-03	4.42E-02
positive regulation of type II hypersensitivity (GO:0002894)	3	2	.10	+	20.82	3.01E-03	4.42E-02
regulation of neurofibrillary tangle assembly (GO:1902996)	3	2	.10	+	20.82	3.01E-03	4.41E-02
primary heart field specification (GO:0003138)	3	2	.10	+	20.82	3.01E-03	4.41E-02
positive regulation of glomerular filtration (GO:0003104)	3	2	.10	+	20.82	3.01E-03	4.41E-02
regulation of neutrophil degranulation (GO:0043313)	8	5	.26	+	19.52	1.71E-06	8.35E-05
toll-like receptor 7 signaling pathway (GO:0034154)	5	3	.16	+	18.74	3.11E-04	7.33E-03
histamine secretion by mast cell (GO:0002553)	5	3	.16	+	18.74	3.11E-04	7.31E-03
histamine secretion involved in inflammatory response (GO:0002441)	5	3	.16	+	18.74	3.11E-04	7.30E-03
histamine production involved in inflammatory response (GO:0002349)	5	3	.16	+	18.74	3.11E-04	7.29E-03
microglial cell activation involved in immune response (GO:0002282)	5	3	.16	+	18.74	3.11E-04	7.28E-03
response to molecule of fungal origin (GO:0002238)	5	3	.16	+	18.74	3.11E-04	7.27E-03
regulation of modification of postsynaptic actin cytoskeleton (GO:1905274)	5	3	.16	+	18.74	3.11E-04	7.26E-03
positive regulation of macrophage fusion (GO:0034241)	5	3	.16	+	18.74	3.11E-04	7.25E-03
regulation of macrophage fusion (GO:0034239)	5	3	.16	+	18.74	3.11E-04	7.24E-03
cellular response to bacterial lipopeptide (GO:0071221)	7	4	.22	+	17.85	3.38E-05	1.16E-03
cellular response to bacterial lipoprotein (GO:0071220)	7	4	.22	+	17.85	3.38E-05	1.16E-03
response to bacterial lipopeptide (GO:0070339)	7	4	.22	+	17.85	3.38E-05	1.16E-03
cell junction disassembly (GO:0150146)	14	8	.45	+	17.85	2.68E-09	2.59E-07
detection of molecule of bacterial origin (GO:0032490)	13	7	.42	+	16.82	4.85E-08	3.44E-06
positive regulation of Fc receptor mediated stimulatory signaling pathway (GO:0060369)	6	3	.19	+	15.61	6.08E-04	1.27E-02
regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001188)	6	3	.19	+	15.61	6.08E-04	1.27E-02
negative regulation of metallopeptidase activity (GO:1905049)	6	3	.19	+	15.61	6.08E-04	1.26E-02
regulation of establishment of T cell polarity (GO:1903903)	6	3	.19	+	15.61	6.08E-04	1.26E-02
positive regulation of hypersensitivity (GO:0002885)	6	3	.19	+	15.61	6.08E-04	1.26E-02
regulation of interleukin-23 production (GO:0032667)	10	5	.32	+	15.61	7.31E-06	3.07E-04
response to bacterial lipoprotein (GO:0032493)	8	4	.26	+	15.61	6.58E-05	2.05E-03
type II hypersensitivity (GO:0002445)	9	4	.29	+	13.88	1.15E-04	3.31E-03
type IIa hypersensitivity (GO:0001794)	9	4	.29	+	13.88	1.15E-04	3.31E-03
antibody-dependent cellular cytotoxicity (GO:0001788)	9	4	.29	+	13.88	1.15E-04	3.30E-03
negative regulation of toll-like receptor 2 signaling pathway (GO:0034136)	7	3	.22	+	13.38	1.04E-03	1.90E-02
platelet degranulation (GO:0002576)	7	3	.22	+	13.38	1.04E-03	1.90E-02
positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001269)	7	3	.22	+	13.38	1.04E-03	1.90E-02
histamine secretion (GO:0001821)	7	3	.22	+	13.38	1.04E-03	1.90E-02
positive regulation of phagocytosis, engulfment (GO:0060100)	14	6	.45	+	13.38	2.54E-06	1.19E-04
positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032831)	7	3	.22	+	13.38	1.04E-03	1.89E-02
regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032829)	7	3	.22	+	13.38	1.04E-03	1.89E-02
positive regulation of interleukin-23 production (GO:0032747)	7	3	.22	+	13.38	1.04E-03	1.89E-02
positive regulation of actin nucleation (GO:0051127)	14	6	.45	+	13.38	2.54E-06	1.18E-04
positive regulation of membrane invagination (GO:1905155)	14	6	.45	+	13.38	2.54E-06	1.18E-04
regulation of I-kappaB phosphorylation (GO:1903719)	7	3	.22	+	13.38	1.04E-03	1.89E-02
positive regulation of microglial cell migration (GO:1904141)	7	3	.22	+	13.38	1.04E-03	1.88E-02
vascular endothelial growth factor production (GO:0010573)	7	3	.22	+	13.38	1.04E-03	1.88E-02
manganese ion transmembrane transport (GO:0071421)	10	4	.32	+	12.49	1.88E-04	4.90E-03
regulation of chemokine-mediated signaling pathway (GO:0070099)	10	4	.32	+	12.49	1.88E-04	4.89E-03
negative regulation of cholesterol storage (GO:0010887)	10	4	.32	+	12.49	1.88E-04	4.89E-03
negative regulation of collagen metabolic process (GO:0010713)	10	4	.32	+	12.49	1.88E-04	4.88E-03
detection of external biotic stimulus (GO:0098581)	26	10	.83	+	12.01	3.54E-09	3.31E-07
regulation of germinal center formation (GO:0002634)	8	3	.26	+	11.71	1.62E-03	2.73E-02
negative regulation of macrophage differentiation (GO:0045650)	8	3	.26	+	11.71	1.62E-03	2.72E-02
I-kappaB phosphorylation (GO:0007252)	8	3	.26	+	11.71	1.62E-03	2.72E-02
positive regulation of Arp2/3 complex-mediated actin nucleation (GO:2000601)	8	3	.26	+	11.71	1.62E-03	2.72E-02
regulation of phagocytosis, engulfment (GO:0060099)	16	6	.51	+	11.71	6.41E-06	2.71E-04
regulation of Cdc42 protein signal transduction (GO:0032489)	8	3	.26	+	11.71	1.62E-03	2.71E-02
central nervous system myelin formation (GO:0032289)	8	3	.26	+	11.71	1.62E-03	2.71E-02
regulation of membrane invagination (GO:1905153)	16	6	.51	+	11.71	6.41E-06	2.70E-04
hepatocyte growth factor receptor signaling pathway (GO:0048012)	8	3	.26	+	11.71	1.62E-03	2.71E-02
positive regulation of amyloid-beta clearance (GO:1900223)	8	3	.26	+	11.71	1.62E-03	2.71E-02
regulation of microglial cell migration (GO:1904139)	8	3	.26	+	11.71	1.62E-03	2.70E-02
platelet activating factor metabolic process (GO:0046469)	8	3	.26	+	11.71	1.62E-03	2.70E-02
positive regulation of acute inflammatory response to antigenic stimulus (GO:0002866)	8	3	.26	+	11.71	1.62E-03	2.70E-02
detection of other organism (GO:0098543)	19	7	.61	+	11.51	1.20E-06	6.12E-05
microglial cell activation (GO:0001774)	30	11	.96	+	11.45	1.05E-09	1.13E-07
regulation of Fc receptor mediated stimulatory signaling pathway (GO:0060368)	11	4	.35	+	11.36	2.87E-04	6.88E-03
manganese ion transport (GO:0006828)	11	4	.35	+	11.36	2.87E-04	6.87E-03
neuron projection extension involved in neuron projection guidance (GO:1902284)	11	4	.35	+	11.36	2.87E-04	6.86E-03
cellular response to lipoteichoic acid (GO:0071223)	11	4	.35	+	11.36	2.87E-04	6.85E-03
axon extension involved in axon guidance (GO:0048846)	11	4	.35	+	11.36	2.87E-04	6.84E-03
response to lipoteichoic acid (GO:0070391)	11	4	.35	+	11.36	2.87E-04	6.83E-03
positive regulation of glial cell migration (GO:1903977)	11	4	.35	+	11.36	2.87E-04	6.82E-03
Rac protein signal transduction (GO:0016601)	25	9	.80	+	11.24	4.33E-08	3.11E-06
interleukin-6-mediated signaling pathway (GO:0070102)	14	5	.45	+	11.15	5.22E-05	1.67E-03
regulation of cholesterol storage (GO:0010885)	17	6	.54	+	11.02	9.64E-06	3.96E-04
glial cell activation (GO:0061900)	38	13	1.22	+	10.68	8.58E-11	1.15E-08
regulation of toll-like receptor 2 signaling pathway (GO:0034135)	12	4	.38	+	10.41	4.20E-04	9.41E-03
substrate-dependent cell migration, cell extension (GO:0006930)	9	3	.29	+	10.41	2.38E-03	3.75E-02
production of molecular mediator involved in inflammatory response (GO:0002532)	18	6	.58	+	10.41	1.41E-05	5.43E-04
hypersensitivity (GO:0002524)	12	4	.38	+	10.41	4.20E-04	9.40E-03
regulation of dendritic cell apoptotic process (GO:2000668)	12	4	.38	+	10.41	4.20E-04	9.39E-03
negative regulation of collagen biosynthetic process (GO:0032966)	9	3	.29	+	10.41	2.38E-03	3.74E-02
netrin-activated signaling pathway (GO:0038007)	9	3	.29	+	10.41	2.38E-03	3.74E-02
regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902959)	9	3	.29	+	10.41	2.38E-03	3.73E-02
cellular response to thyroid hormone stimulus (GO:0097067)	12	4	.38	+	10.41	4.20E-04	9.37E-03
leukocyte activation involved in inflammatory response (GO:0002269)	33	11	1.06	+	10.41	3.40E-09	3.22E-07
positive regulation of myeloid leukocyte mediated immunity (GO:0002888)	22	7	.70	+	9.94	3.75E-06	1.69E-04
macrophage activation involved in immune response (GO:0002281)	19	6	.61	+	9.86	2.00E-05	7.40E-04
peptide antigen assembly with MHC class II protein complex (GO:0002503)	16	5	.51	+	9.76	1.08E-04	3.15E-03
MHC class II protein complex assembly (GO:0002399)	16	5	.51	+	9.76	1.08E-04	3.15E-03
positive regulation of vascular associated smooth muscle cell migration (GO:1904754)	16	5	.51	+	9.76	1.08E-04	3.14E-03
detection of bacterium (GO:0016045)	16	5	.51	+	9.76	1.08E-04	3.13E-03
type II interferon-mediated signaling pathway (GO:0060333)	13	4	.42	+	9.61	5.91E-04	1.24E-02
G protein-coupled purinergic nucleotide receptor signaling pathway (GO:0035589)	13	4	.42	+	9.61	5.91E-04	1.24E-02
negative regulation of platelet-derived growth factor receptor signaling pathway (GO:0010642)	13	4	.42	+	9.61	5.91E-04	1.24E-02
positive regulation of inflammatory response to antigenic stimulus (GO:0002863)	13	4	.42	+	9.61	5.91E-04	1.24E-02
macrophage activation (GO:0042116)	62	19	1.99	+	9.57	3.67E-14	9.65E-12
positive regulation of antigen processing and presentation (GO:0002579)	10	3	.32	+	9.37	3.31E-03	4.81E-02
positive regulation of monocyte differentiation (GO:0045657)	10	3	.32	+	9.37	3.31E-03	4.81E-02
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis (GO:0002433)	20	6	.64	+	9.37	2.78E-05	9.98E-04
vagina development (GO:0060068)	10	3	.32	+	9.37	3.31E-03	4.80E-02
positive regulation of natural killer cell proliferation (GO:0032819)	10	3	.32	+	9.37	3.31E-03	4.80E-02
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	20	6	.64	+	9.37	2.78E-05	9.95E-04
glutamate secretion (GO:0014047)	10	3	.32	+	9.37	3.31E-03	4.79E-02
histamine transport (GO:0051608)	10	3	.32	+	9.37	3.31E-03	4.79E-02
positive regulation of lipopolysaccharide-mediated signaling pathway (GO:0031666)	10	3	.32	+	9.37	3.31E-03	4.78E-02
regulation of modification of postsynaptic structure (GO:0099159)	10	3	.32	+	9.37	3.31E-03	4.78E-02
detection of biotic stimulus (GO:0009595)	40	12	1.28	+	9.37	2.58E-09	2.51E-07
regulation of aspartic-type peptidase activity (GO:1905245)	10	3	.32	+	9.37	3.31E-03	4.77E-02
leucine transport (GO:0015820)	10	3	.32	+	9.37	3.31E-03	4.77E-02
regulation of hypersensitivity (GO:0002883)	10	3	.32	+	9.37	3.31E-03	4.77E-02
negative regulation of glial cell apoptotic process (GO:0034351)	10	3	.32	+	9.37	3.31E-03	4.76E-02
positive regulation of macrophage activation (GO:0043032)	27	8	.86	+	9.25	1.37E-06	6.81E-05
lipopolysaccharide-mediated signaling pathway (GO:0031663)	34	10	1.09	+	9.19	6.93E-08	4.69E-06
negative regulation of B cell proliferation (GO:0030889)	17	5	.54	+	9.19	1.49E-04	4.06E-03
neuron remodeling (GO:0016322)	14	4	.45	+	8.92	8.07E-04	1.60E-02
gamma-aminobutyric acid transport (GO:0015812)	14	4	.45	+	8.92	8.07E-04	1.60E-02
sphingoid biosynthetic process (GO:0046520)	14	4	.45	+	8.92	8.07E-04	1.60E-02
sphingosine biosynthetic process (GO:0046512)	14	4	.45	+	8.92	8.07E-04	1.59E-02
prostaglandin biosynthetic process (GO:0001516)	21	6	.67	+	8.92	3.79E-05	1.27E-03
neuroinflammatory response (GO:0150076)	49	14	1.57	+	8.92	2.49E-10	2.97E-08
prostanoid biosynthetic process (GO:0046457)	21	6	.67	+	8.92	3.79E-05	1.27E-03
positive regulation of macrophage cytokine production (GO:0060907)	25	7	.80	+	8.74	9.72E-06	3.98E-04
acute inflammatory response to antigenic stimulus (GO:0002438)	18	5	.58	+	8.67	2.01E-04	5.15E-03
Fc-gamma receptor signaling pathway (GO:0038094)	29	8	.93	+	8.61	2.51E-06	1.18E-04
Fc receptor mediated stimulatory signaling pathway (GO:0002431)	22	6	.70	+	8.52	5.07E-05	1.65E-03
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	22	6	.70	+	8.52	5.07E-05	1.64E-03
positive regulation of natural killer cell activation (GO:0032816)	22	6	.70	+	8.52	5.07E-05	1.64E-03
cellular response to lectin (GO:1990858)	22	6	.70	+	8.52	5.07E-05	1.64E-03
response to lectin (GO:1990840)	22	6	.70	+	8.52	5.07E-05	1.63E-03
negative regulation of lipid storage (GO:0010888)	22	6	.70	+	8.52	5.07E-05	1.63E-03
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	33	9	1.06	+	8.52	6.49E-07	3.55E-05
positive regulation of macrophage migration (GO:1905523)	26	7	.83	+	8.41	1.29E-05	5.08E-04
phagocytosis, recognition (GO:0006910)	15	4	.48	+	8.33	1.07E-03	1.93E-02
positive regulation of MHC class II biosynthetic process (GO:0045348)	15	4	.48	+	8.33	1.07E-03	1.93E-02
positive regulation of interleukin-13 production (GO:0032736)	15	4	.48	+	8.33	1.07E-03	1.92E-02
positive regulation of neuroinflammatory response (GO:0150078)	15	4	.48	+	8.33	1.07E-03	1.92E-02
regulation of adipose tissue development (GO:1904177)	15	4	.48	+	8.33	1.07E-03	1.92E-02
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002504)	34	9	1.09	+	8.27	8.58E-07	4.56E-05
positive regulation of superoxide anion generation (GO:0032930)	19	5	.61	+	8.22	2.65E-04	6.41E-03
astrocyte activation (GO:0048143)	19	5	.61	+	8.22	2.65E-04	6.40E-03
regulation of glial cell migration (GO:1903975)	19	5	.61	+	8.22	2.65E-04	6.39E-03
chondroitin sulfate biosynthetic process (GO:0030206)	19	5	.61	+	8.22	2.65E-04	6.38E-03
regulation of establishment of cell polarity (GO:2000114)	23	6	.74	+	8.15	6.67E-05	2.07E-03
amyloid-beta clearance (GO:0097242)	23	6	.74	+	8.15	6.67E-05	2.06E-03
regulation of vascular associated smooth muscle cell migration (GO:1904752)	27	7	.86	+	8.10	1.70E-05	6.42E-04
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	31	8	.99	+	8.06	4.35E-06	1.92E-04
phagocytosis, engulfment (GO:0006911)	36	9	1.15	+	7.81	1.45E-06	7.15E-05
sphingosine metabolic process (GO:0006670)	20	5	.64	+	7.81	3.45E-04	7.86E-03
positive regulation of nitric-oxide synthase biosynthetic process (GO:0051770)	16	4	.51	+	7.81	1.39E-03	2.41E-02
monoacylglycerol metabolic process (GO:0046462)	16	4	.51	+	7.81	1.39E-03	2.41E-02
negative regulation of amyloid precursor protein catabolic process (GO:1902992)	20	5	.64	+	7.81	3.45E-04	7.85E-03
MyD88-dependent toll-like receptor signaling pathway (GO:0002755)	16	4	.51	+	7.81	1.39E-03	2.41E-02
toll-like receptor signaling pathway (GO:0002224)	45	11	1.44	+	7.63	1.26E-07	7.99E-06
regulation of platelet aggregation (GO:0090330)	29	7	.93	+	7.54	2.82E-05	1.01E-03
regulation of myeloid leukocyte mediated immunity (GO:0002886)	58	14	1.86	+	7.54	2.87E-09	2.73E-07
peptide antigen assembly with MHC protein complex (GO:0002501)	21	5	.67	+	7.44	4.40E-04	9.73E-03
MHC protein complex assembly (GO:0002396)	21	5	.67	+	7.44	4.40E-04	9.72E-03
regulation of macrophage cytokine production (GO:0010935)	38	9	1.22	+	7.40	2.38E-06	1.13E-04
neutrophil homeostasis (GO:0001780)	17	4	.54	+	7.35	1.78E-03	2.92E-02
negative regulation of interleukin-8 production (GO:0032717)	17	4	.54	+	7.35	1.78E-03	2.91E-02
lipoprotein transport (GO:0042953)	17	4	.54	+	7.35	1.78E-03	2.91E-02
response to hepatocyte growth factor (GO:0035728)	17	4	.54	+	7.35	1.78E-03	2.91E-02
regulation of inflammatory response to antigenic stimulus (GO:0002861)	43	10	1.38	+	7.26	7.81E-07	4.19E-05
positive regulation of focal adhesion assembly (GO:0051894)	26	6	.83	+	7.21	1.40E-04	3.88E-03
acid secretion (GO:0046717)	26	6	.83	+	7.21	1.40E-04	3.87E-03
membrane invagination (GO:0010324)	52	12	1.67	+	7.21	6.72E-08	4.61E-06
regulation of superoxide anion generation (GO:0032928)	22	5	.70	+	7.10	5.55E-04	1.18E-02
sphingoid metabolic process (GO:0046519)	22	5	.70	+	7.10	5.55E-04	1.18E-02
regulation of platelet activation (GO:0010543)	53	12	1.70	+	7.07	8.43E-08	5.56E-06
positive regulation of phagocytosis (GO:0050766)	71	16	2.27	+	7.04	6.35E-10	7.02E-08
negative regulation of amyloid-beta formation (GO:1902430)	18	4	.58	+	6.94	2.23E-03	3.54E-02
lipoprotein localization (GO:0044872)	18	4	.58	+	6.94	2.23E-03	3.54E-02
regulation of establishment or maintenance of cell polarity (GO:0032878)	27	6	.86	+	6.94	1.75E-04	4.62E-03
Fc receptor signaling pathway (GO:0038093)	54	12	1.73	+	6.94	1.05E-07	6.83E-06
positive regulation of leukocyte apoptotic process (GO:2000108)	27	6	.86	+	6.94	1.75E-04	4.61E-03
regulation of phagocytosis (GO:0050764)	99	22	3.17	+	6.94	5.28E-13	9.81E-11
plasma membrane invagination (GO:0099024)	45	10	1.44	+	6.94	1.23E-06	6.19E-05
negative regulation of platelet activation (GO:0010544)	18	4	.58	+	6.94	2.23E-03	3.54E-02
positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081)	36	8	1.15	+	6.94	1.45E-05	5.58E-04
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	41	9	1.31	+	6.86	4.69E-06	2.04E-04
apoptotic cell clearance (GO:0043277)	41	9	1.31	+	6.86	4.69E-06	2.04E-04
lamellipodium assembly (GO:0030032)	37	8	1.18	+	6.75	1.80E-05	6.76E-04
telencephalon glial cell migration (GO:0022030)	28	6	.90	+	6.69	2.17E-04	5.50E-03
cellular response to interleukin-6 (GO:0071354)	28	6	.90	+	6.69	2.17E-04	5.49E-03
purinergic nucleotide receptor signaling pathway (GO:0035590)	28	6	.90	+	6.69	2.17E-04	5.48E-03
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	28	6	.90	+	6.69	2.17E-04	5.48E-03
cerebral cortex radial glia-guided migration (GO:0021801)	28	6	.90	+	6.69	2.17E-04	5.47E-03
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	109	23	3.49	+	6.59	5.02E-13	9.45E-11
positive regulation of axon extension (GO:0045773)	38	8	1.22	+	6.57	2.21E-05	8.13E-04
regulation of MHC class II biosynthetic process (GO:0045346)	19	4	.61	+	6.57	2.75E-03	4.21E-02
response to hydroperoxide (GO:0033194)	19	4	.61	+	6.57	2.75E-03	4.21E-02
regulation of nitric-oxide synthase biosynthetic process (GO:0051769)	19	4	.61	+	6.57	2.75E-03	4.20E-02
regulation of mast cell activation (GO:0033003)	19	4	.61	+	6.57	2.75E-03	4.20E-02
regulation of amyloid-beta clearance (GO:1900221)	19	4	.61	+	6.57	2.75E-03	4.19E-02
female genitalia development (GO:0030540)	19	4	.61	+	6.57	2.75E-03	4.19E-02
regulation of B cell apoptotic process (GO:0002902)	19	4	.61	+	6.57	2.75E-03	4.19E-02
positive regulation of tumor necrosis factor production (GO:0032760)	105	22	3.36	+	6.54	1.88E-12	3.08E-10
regulation of macrophage differentiation (GO:0045649)	24	5	.77	+	6.51	8.50E-04	1.66E-02
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	24	5	.77	+	6.51	8.50E-04	1.66E-02
filopodium assembly (GO:0046847)	24	5	.77	+	6.51	8.50E-04	1.66E-02
mast cell mediated immunity (GO:0002448)	34	7	1.09	+	6.43	8.46E-05	2.53E-03
B cell homeostasis (GO:0001782)	30	6	.96	+	6.25	3.24E-04	7.48E-03
cellular response to low-density lipoprotein particle stimulus (GO:0071404)	30	6	.96	+	6.25	3.24E-04	7.47E-03
regulation of interleukin-10 production (GO:0032653)	60	12	1.92	+	6.25	3.60E-07	2.12E-05
positive regulation of amyloid-beta formation (GO:1902004)	20	4	.64	+	6.25	3.35E-03	4.80E-02
positive regulation of NLRP3 inflammasome complex assembly (GO:1900227)	20	4	.64	+	6.25	3.35E-03	4.80E-02
response to lipoprotein particle (GO:0055094)	30	6	.96	+	6.25	3.24E-04	7.46E-03
