Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (951)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000563)	10	4	.46	+	8.66	7.61E-04	2.21E-02
response to interleukin-2 (GO:0070669)	10	4	.46	+	8.66	7.61E-04	2.21E-02
negative regulation of thymocyte apoptotic process (GO:0070244)	10	4	.46	+	8.66	7.61E-04	2.20E-02
positive regulation of isotype switching to IgG isotypes (GO:0048304)	10	4	.46	+	8.66	7.61E-04	2.20E-02
regulation of cardiac muscle adaptation (GO:0010612)	10	4	.46	+	8.66	7.61E-04	2.20E-02
negative regulation of natural killer cell mediated cytotoxicity (GO:0045953)	20	8	.92	+	8.66	1.55E-06	8.34E-05
T cell lineage commitment (GO:0002360)	28	11	1.29	+	8.50	2.02E-08	1.63E-06
regulation of T cell differentiation in thymus (GO:0033081)	28	11	1.29	+	8.50	2.02E-08	1.62E-06
antigen processing and presentation of peptide antigen via MHC class Ib (GO:0002428)	18	7	.83	+	8.42	8.95E-06	4.20E-04
positive regulation of T cell receptor signaling pathway (GO:0050862)	18	7	.83	+	8.42	8.95E-06	4.18E-04
T-helper 17 type immune response (GO:0072538)	18	7	.83	+	8.42	8.95E-06	4.17E-04
T cell differentiation involved in immune response (GO:0002292)	49	19	2.26	+	8.39	1.81E-13	2.73E-11
negative regulation of leukocyte mediated cytotoxicity (GO:0001911)	26	10	1.20	+	8.32	1.14E-07	7.65E-06
regulation of lymphocyte chemotaxis (GO:1901623)	26	10	1.20	+	8.32	1.14E-07	7.62E-06
alpha-beta T cell differentiation (GO:0046632)	78	30	3.60	+	8.32	2.30E-20	7.81E-18
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486)	16	6	.74	+	8.12	5.15E-05	2.01E-03
regulation of T cell chemotaxis (GO:0010819)	16	6	.74	+	8.12	5.15E-05	2.00E-03
cellular defense response (GO:0006968)	51	19	2.36	+	8.06	4.26E-13	5.90E-11
CD4-positive, alpha-beta T cell activation (GO:0035710)	71	26	3.28	+	7.92	3.32E-17	7.33E-15
cellular response to interleukin-15 (GO:0071350)	11	4	.51	+	7.87	1.15E-03	3.20E-02
cellular response to interleukin-12 (GO:0071349)	11	4	.51	+	7.87	1.15E-03	3.20E-02
regulation of calcium ion import across plasma membrane (GO:1905664)	11	4	.51	+	7.87	1.15E-03	3.19E-02
interleukin-15-mediated signaling pathway (GO:0035723)	11	4	.51	+	7.87	1.15E-03	3.19E-02
negative regulation of B cell apoptotic process (GO:0002903)	14	5	.65	+	7.73	2.94E-04	9.46E-03
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484)	17	6	.79	+	7.64	7.64E-05	2.84E-03
antigen processing and presentation of endogenous peptide antigen via MHC class Ib (GO:0002476)	17	6	.79	+	7.64	7.64E-05	2.83E-03
dendritic cell chemotaxis (GO:0002407)	17	6	.79	+	7.64	7.64E-05	2.82E-03
T cell mediated cytotoxicity (GO:0001913)	17	6	.79	+	7.64	7.64E-05	2.81E-03
negative regulation of lymphocyte apoptotic process (GO:0070229)	37	13	1.71	+	7.60	5.12E-09	4.48E-07
CD4-positive, alpha-beta T cell differentiation (GO:0043367)	57	20	2.63	+	7.59	3.86E-13	5.40E-11
negative regulation of cell killing (GO:0031342)	29	10	1.34	+	7.46	3.80E-07	2.31E-05
regulation of thymocyte apoptotic process (GO:0070243)	15	5	.69	+	7.21	4.25E-04	1.31E-02
regulation of CD8-positive, alpha-beta T cell activation (GO:2001185)	21	7	.97	+	7.21	2.89E-05	1.20E-03
response to interleukin-15 (GO:0070672)	12	4	.55	+	7.21	1.66E-03	4.37E-02
response to interleukin-12 (GO:0070671)	12	4	.55	+	7.21	1.66E-03	4.36E-02
regulation of B cell receptor signaling pathway (GO:0050855)	21	7	.97	+	7.21	2.89E-05	1.20E-03
negative regulation of macrophage migration (GO:1905522)	12	4	.55	+	7.21	1.66E-03	4.35E-02
regulation of plasma membrane organization (GO:1903729)	18	6	.83	+	7.21	1.10E-04	3.91E-03
antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	24	8	1.11	+	7.21	7.66E-06	3.64E-04
negative regulation of glycoprotein biosynthetic process (GO:0010561)	12	4	.55	+	7.21	1.66E-03	4.34E-02
T cell receptor signaling pathway (GO:0050852)	114	37	5.27	+	7.02	8.40E-22	3.37E-19
positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	69	22	3.19	+	6.90	2.46E-13	3.61E-11
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	22	7	1.02	+	6.89	4.07E-05	1.64E-03
cellular response to lectin (GO:1990858)	22	7	1.02	+	6.89	4.07E-05	1.63E-03
response to lectin (GO:1990840)	22	7	1.02	+	6.89	4.07E-05	1.63E-03
tolerance induction (GO:0002507)	19	6	.88	+	6.83	1.55E-04	5.27E-03
positive regulation of cell killing (GO:0031343)	76	24	3.51	+	6.83	2.57E-14	4.30E-12
leukocyte cell-cell adhesion (GO:0007159)	57	18	2.63	+	6.83	4.44E-11	4.97E-09
natural killer cell mediated immunity (GO:0002228)	35	11	1.62	+	6.80	2.91E-07	1.79E-05
sphingolipid mediated signaling pathway (GO:0090520)	16	5	.74	+	6.76	5.94E-04	1.77E-02
negative regulation of T cell mediated immunity (GO:0002710)	29	9	1.34	+	6.72	4.01E-06	2.00E-04
antigen processing and presentation of endogenous peptide antigen (GO:0002483)	26	8	1.20	+	6.66	1.50E-05	6.53E-04
regulation of antigen receptor-mediated signaling pathway (GO:0050854)	65	20	3.00	+	6.66	6.36E-12	8.01E-10
leukocyte adhesion to vascular endothelial cell (GO:0061756)	23	7	1.06	+	6.59	5.62E-05	2.16E-03
T cell costimulation (GO:0031295)	43	13	1.99	+	6.54	4.06E-08	3.09E-06
regulation of tolerance induction (GO:0002643)	20	6	.92	+	6.49	2.13E-04	7.07E-03
positive regulation of endothelial cell apoptotic process (GO:2000353)	20	6	.92	+	6.49	2.13E-04	7.06E-03
T cell differentiation in thymus (GO:0033077)	64	19	2.96	+	6.42	4.33E-11	4.89E-09
positive regulation of interleukin-4 production (GO:0032753)	27	8	1.25	+	6.41	2.04E-05	8.80E-04
lymphocyte costimulation (GO:0031294)	44	13	2.03	+	6.39	5.52E-08	4.08E-06
regulation of alpha-beta T cell proliferation (GO:0046640)	44	13	2.03	+	6.39	5.52E-08	4.06E-06
neutrophil homeostasis (GO:0001780)	17	5	.79	+	6.36	8.10E-04	2.32E-02
regulation of interleukin-4 production (GO:0032673)	34	10	1.57	+	6.36	2.02E-06	1.07E-04
regulation of T cell apoptotic process (GO:0070232)	41	12	1.89	+	6.33	2.02E-07	1.29E-05
T cell differentiation (GO:0030217)	183	53	8.46	+	6.27	5.99E-28	5.37E-25
antigen receptor-mediated signaling pathway (GO:0050851)	160	46	7.39	+	6.22	2.89E-24	1.63E-21
positive regulation of interleukin-2 production (GO:0032743)	35	10	1.62	+	6.18	2.71E-06	1.39E-04
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	56	16	2.59	+	6.18	2.79E-09	2.54E-07
T cell activation (GO:0042110)	321	91	14.83	+	6.13	1.58E-46	6.03E-43
regulation of T cell receptor signaling pathway (GO:0050856)	46	13	2.13	+	6.12	9.93E-08	6.79E-06
T cell mediated immunity (GO:0002456)	39	11	1.80	+	6.10	9.86E-07	5.51E-05
antigen processing and presentation via MHC class Ib (GO:0002475)	25	7	1.16	+	6.06	1.02E-04	3.64E-03
regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000561)	22	6	1.02	+	5.90	3.78E-04	1.19E-02
positive regulation of lymphocyte migration (GO:2000403)	44	12	2.03	+	5.90	4.74E-07	2.83E-05
macrophage migration (GO:1905517)	22	6	1.02	+	5.90	3.78E-04	1.19E-02
natural killer cell mediated cytotoxicity (GO:0042267)	33	9	1.52	+	5.90	1.31E-05	5.78E-04
T cell activation involved in immune response (GO:0002286)	81	22	3.74	+	5.88	9.17E-12	1.13E-09
regulation of leukocyte mediated cytotoxicity (GO:0001910)	96	26	4.44	+	5.86	1.28E-13	1.97E-11
positive regulation of lymphocyte mediated immunity (GO:0002708)	126	34	5.82	+	5.84	2.47E-17	5.79E-15
negative regulation of alpha-beta T cell differentiation (GO:0046639)	26	7	1.20	+	5.83	1.34E-04	4.64E-03
positive regulation of T cell cytokine production (GO:0002726)	26	7	1.20	+	5.83	1.34E-04	4.63E-03
positive regulation of type II interferon production (GO:0032729)	78	21	3.60	+	5.83	3.27E-11	3.77E-09
regulation of cellular extravasation (GO:0002691)	41	11	1.89	+	5.81	1.71E-06	9.16E-05
T cell migration (GO:0072678)	34	9	1.57	+	5.73	1.71E-05	7.39E-04
regulation of cell killing (GO:0031341)	110	29	5.08	+	5.71	1.07E-14	1.88E-12
antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	38	10	1.76	+	5.69	6.14E-06	2.98E-04
definitive hemopoiesis (GO:0060216)	19	5	.88	+	5.69	1.41E-03	3.82E-02
N-glycan processing (GO:0006491)	19	5	.88	+	5.69	1.41E-03	3.81E-02
fibroblast migration (GO:0010761)	19	5	.88	+	5.69	1.41E-03	3.80E-02
regulation of B cell apoptotic process (GO:0002902)	19	5	.88	+	5.69	1.41E-03	3.80E-02
positive regulation of cellular extravasation (GO:0002693)	19	5	.88	+	5.69	1.41E-03	3.79E-02
T-helper 1 type immune response (GO:0042088)	23	6	1.06	+	5.65	4.91E-04	1.49E-02
positive regulation of isotype switching (GO:0045830)	27	7	1.25	+	5.61	1.73E-04	5.84E-03
regulation of lymphocyte migration (GO:2000401)	70	18	3.23	+	5.56	1.88E-09	1.76E-07
regulation of lymphocyte apoptotic process (GO:0070228)	59	15	2.73	+	5.50	4.96E-08	3.70E-06
lymphocyte migration (GO:0072676)	79	20	3.65	+	5.48	3.22E-10	3.23E-08
regulation of alpha-beta T cell activation (GO:0046634)	116	29	5.36	+	5.41	4.83E-14	7.59E-12
regulation of natural killer cell activation (GO:0032814)	40	10	1.85	+	5.41	1.01E-05	4.66E-04
positive regulation of T cell migration (GO:2000406)	36	9	1.66	+	5.41	2.82E-05	1.17E-03
regulation of myoblast fusion (GO:1901739)	20	5	.92	+	5.41	1.81E-03	4.62E-02
negative regulation of leukocyte apoptotic process (GO:2000107)	56	14	2.59	+	5.41	1.74E-07	1.12E-05
leukocyte tethering or rolling (GO:0050901)	20	5	.92	+	5.41	1.81E-03	4.62E-02
dendritic cell migration (GO:0036336)	24	6	1.11	+	5.41	6.30E-04	1.86E-02
negative regulation of antigen receptor-mediated signaling pathway (GO:0050858)	32	8	1.48	+	5.41	7.88E-05	2.89E-03
negative regulation of lymphocyte mediated immunity (GO:0002707)	57	14	2.63	+	5.32	2.21E-07	1.37E-05
antigen processing and presentation of endogenous antigen (GO:0019883)	33	8	1.52	+	5.25	9.99E-05	3.60E-03
natural killer cell activation (GO:0030101)	62	15	2.87	+	5.24	1.02E-07	6.91E-06
regulation of T cell migration (GO:2000404)	50	12	2.31	+	5.19	2.11E-06	1.11E-04
negative regulation of T cell receptor signaling pathway (GO:0050860)	25	6	1.16	+	5.19	7.97E-04	2.29E-02
membrane raft organization (GO:0031579)	25	6	1.16	+	5.19	7.97E-04	2.29E-02
heterotypic cell-cell adhesion (GO:0034113)	38	9	1.76	+	5.13	4.49E-05	1.77E-03
regulation of T cell cytokine production (GO:0002724)	38	9	1.76	+	5.13	4.49E-05	1.76E-03
negative regulation of leukocyte mediated immunity (GO:0002704)	68	16	3.14	+	5.09	5.83E-08	4.27E-06
positive regulation of alpha-beta T cell activation (GO:0046635)	73	17	3.37	+	5.04	2.66E-08	2.09E-06
lymphocyte activation (GO:0046649)	486	113	22.46	+	5.03	3.63E-48	1.84E-44
positive regulation of mononuclear cell migration (GO:0071677)	74	17	3.42	+	4.97	3.31E-08	2.53E-06
regulation of regulatory T cell differentiation (GO:0045589)	35	8	1.62	+	4.95	1.56E-04	5.29E-03
regulation of B cell differentiation (GO:0045577)	35	8	1.62	+	4.95	1.56E-04	5.28E-03
positive regulation of leukocyte mediated immunity (GO:0002705)	149	34	6.89	+	4.94	6.07E-15	1.10E-12
regulation of macrophage migration (GO:1905521)	44	10	2.03	+	4.92	2.50E-05	1.05E-03
regulation of type II interferon production (GO:0032649)	119	27	5.50	+	4.91	4.35E-12	5.57E-10
immune response-activating cell surface receptor signaling pathway (GO:0002429)	248	56	11.46	+	4.89	1.55E-23	8.16E-21
negative regulation of leukocyte migration (GO:0002686)	49	11	2.26	+	4.86	1.12E-05	5.06E-04
regulation of lymphocyte mediated immunity (GO:0002706)	184	41	8.50	+	4.82	2.40E-17	5.71E-15
lymphocyte activation involved in immune response (GO:0002285)	135	30	6.24	+	4.81	5.03E-13	6.84E-11
regulation of establishment or maintenance of cell polarity (GO:0032878)	27	6	1.25	+	4.81	1.23E-03	3.37E-02
regulation of interleukin-2 production (GO:0032663)	63	14	2.91	+	4.81	8.29E-07	4.73E-05
cellular response to interferon-beta (GO:0035458)	27	6	1.25	+	4.81	1.23E-03	3.37E-02
B cell proliferation (GO:0042100)	54	12	2.50	+	4.81	5.03E-06	2.47E-04
regulation of necroptotic process (GO:0060544)	27	6	1.25	+	4.81	1.23E-03	3.36E-02
mononuclear cell migration (GO:0071674)	113	25	5.22	+	4.79	4.85E-11	5.36E-09
regulation of T cell mediated cytotoxicity (GO:0001914)	50	11	2.31	+	4.76	1.38E-05	6.06E-04
positive regulation of immunoglobulin mediated immune response (GO:0002891)	41	9	1.89	+	4.75	8.52E-05	3.11E-03
positive regulation of B cell mediated immunity (GO:0002714)	41	9	1.89	+	4.75	8.52E-05	3.10E-03
regulation of alpha-beta T cell differentiation (GO:0046637)	73	16	3.37	+	4.74	1.68E-07	1.09E-05
regulation of T cell differentiation (GO:0045580)	183	40	8.46	+	4.73	1.20E-16	2.47E-14
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	281	61	12.98	+	4.70	1.44E-24	8.46E-22
lymphocyte differentiation (GO:0030098)	295	64	13.63	+	4.69	1.04E-25	7.24E-23
T cell proliferation (GO:0042098)	74	16	3.42	+	4.68	2.06E-07	1.30E-05
regulation of macrophage chemotaxis (GO:0010758)	28	6	1.29	+	4.64	1.51E-03	4.00E-02
leukocyte mediated cytotoxicity (GO:0001909)	66	14	3.05	+	4.59	1.51E-06	8.15E-05
cellular extravasation (GO:0045123)	43	9	1.99	+	4.53	1.26E-04	4.40E-03
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	43	9	1.99	+	4.53	1.26E-04	4.39E-03
negative regulation of T cell differentiation (GO:0045581)	48	10	2.22	+	4.51	5.58E-05	2.15E-03
regulation of CD4-positive, alpha-beta T cell activation (GO:2000514)	77	16	3.56	+	4.50	3.67E-07	2.24E-05
positive regulation of osteoclast differentiation (GO:0045672)	29	6	1.34	+	4.48	1.82E-03	4.64E-02
Fc-gamma receptor signaling pathway (GO:0038094)	29	6	1.34	+	4.48	1.82E-03	4.64E-02
response to protozoan (GO:0001562)	29	6	1.34	+	4.48	1.82E-03	4.63E-02
B cell receptor signaling pathway (GO:0050853)	58	12	2.68	+	4.48	1.10E-05	4.99E-04
response to interferon-beta (GO:0035456)	34	7	1.57	+	4.46	7.92E-04	2.28E-02
positive regulation of T cell proliferation (GO:0042102)	103	21	4.76	+	4.41	8.12E-09	6.91E-07
Fc receptor signaling pathway (GO:0038093)	54	11	2.50	+	4.41	2.98E-05	1.23E-03
leukocyte activation (GO:0045321)	610	124	28.19	+	4.40	3.73E-46	1.14E-42
lymphocyte proliferation (GO:0046651)	128	26	5.91	+	4.40	1.51E-10	1.60E-08
mononuclear cell differentiation (GO:1903131)	338	68	15.62	+	4.35	3.18E-25	2.02E-22
regulation of T cell activation (GO:0050863)	380	76	17.56	+	4.33	6.56E-28	5.55E-25
regulation of lymphocyte differentiation (GO:0045619)	215	43	9.94	+	4.33	2.72E-16	5.53E-14
positive regulation of T cell mediated cytotoxicity (GO:0001916)	40	8	1.85	+	4.33	4.15E-04	1.28E-02
negative regulation of viral genome replication (GO:0045071)	55	11	2.54	+	4.33	3.58E-05	1.45E-03
regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043370)	55	11	2.54	+	4.33	3.58E-05	1.45E-03
positive regulation of B cell proliferation (GO:0030890)	45	9	2.08	+	4.33	1.83E-04	6.13E-03
negative regulation of alpha-beta T cell activation (GO:0046636)	45	9	2.08	+	4.33	1.83E-04	6.12E-03
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	276	55	12.75	+	4.31	2.08E-20	7.20E-18
positive regulation of T cell activation (GO:0050870)	253	50	11.69	+	4.28	1.67E-18	4.54E-16
mononuclear cell proliferation (GO:0032943)	132	26	6.10	+	4.26	3.07E-10	3.10E-08
regulation of isotype switching (GO:0045191)	36	7	1.66	+	4.21	1.13E-03	3.16E-02
regulation of mononuclear cell migration (GO:0071675)	124	24	5.73	+	4.19	2.13E-09	1.97E-07
negative regulation of sequestering of calcium ion (GO:0051283)	57	11	2.63	+	4.18	5.07E-05	1.98E-03
chemokine-mediated signaling pathway (GO:0070098)	83	16	3.84	+	4.17	1.07E-06	5.93E-05
regulation of T cell mediated immunity (GO:0002709)	99	19	4.57	+	4.15	1.15E-07	7.62E-06
positive regulation of mononuclear cell proliferation (GO:0032946)	146	28	6.75	+	4.15	1.23E-10	1.33E-08
positive regulation of receptor signaling pathway via STAT (GO:1904894)	47	9	2.17	+	4.14	2.58E-04	8.38E-03
immune response-activating signaling pathway (GO:0002757)	319	61	14.74	+	4.14	1.53E-21	5.98E-19
regulation of interleukin-12 production (GO:0032655)	63	12	2.91	+	4.12	2.67E-05	1.12E-03
negative regulation of lymphocyte differentiation (GO:0045620)	58	11	2.68	+	4.10	6.00E-05	2.28E-03
homeostasis of number of cells within a tissue (GO:0048873)	37	7	1.71	+	4.09	1.34E-03	3.65E-02
positive regulation of epithelial cell apoptotic process (GO:1904037)	37	7	1.71	+	4.09	1.34E-03	3.65E-02
leukocyte activation involved in immune response (GO:0002366)	201	38	9.29	+	4.09	9.81E-14	1.53E-11
positive regulation of lymphocyte proliferation (GO:0050671)	143	27	6.61	+	4.09	3.82E-10	3.78E-08
positive regulation of T cell mediated immunity (GO:0002711)	69	13	3.19	+	4.08	1.41E-05	6.16E-04
immune response-regulating signaling pathway (GO:0002764)	354	66	16.36	+	4.03	1.39E-22	6.21E-20
regulation of leukocyte cell-cell adhesion (GO:1903037)	371	69	17.14	+	4.02	1.68E-23	8.53E-21
leukocyte proliferation (GO:0070661)	151	28	6.98	+	4.01	2.80E-10	2.87E-08
cell activation involved in immune response (GO:0002263)	205	38	9.47	+	4.01	1.88E-13	2.81E-11
cellular response to chemokine (GO:1990869)	92	17	4.25	+	4.00	9.28E-07	5.28E-05
response to chemokine (GO:1990868)	92	17	4.25	+	4.00	9.28E-07	5.26E-05
cell activation (GO:0001775)	735	134	33.96	+	3.95	2.76E-44	6.00E-41
positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)	44	8	2.03	+	3.93	8.13E-04	2.32E-02
regulation of lymphocyte activation (GO:0051249)	501	91	23.15	+	3.93	6.25E-30	6.81E-27
positive regulation of cell-cell adhesion (GO:0022409)	325	59	15.02	+	3.93	1.02E-19	3.39E-17
positive regulation of lymphocyte activation (GO:0051251)	327	59	15.11	+	3.90	1.40E-19	4.52E-17
regulation of leukocyte apoptotic process (GO:2000106)	89	16	4.11	+	3.89	2.82E-06	1.44E-04
release of sequestered calcium ion into cytosol (GO:0051209)	56	10	2.59	+	3.86	2.18E-04	7.21E-03
negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002823)	56	10	2.59	+	3.86	2.18E-04	7.19E-03
positive regulation of B cell activation (GO:0050871)	84	15	3.88	+	3.86	6.25E-06	3.02E-04
